"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"1","0101","MAIRIE DU 1ER ARRONDISSEMENT",794,22.29,1.3,9.52,4.11,16.91,21.51,1.31,0.33,0.66,11.17,0.49,33.99
"2","0102","MAIRIE DU 1ER ARRONDISSEMENT",1165,20.17,1.08,7.83,5.98,20.33,19.78,0.54,0.54,0.65,8.15,0.65,35.54
"3","0103","ECOLE - VICTOR HUGO",1268,18.53,1.94,9.18,5.23,13.82,24.28,0.49,0.39,0.39,6.91,0.69,38.6
"4","0104","ECOLE - VICTOR HUGO",1316,21.43,0.77,4.19,7.89,29.43,15.59,0.97,0.88,0,9.94,0.78,30.31
"5","0105","ECOLE - AVEYRON",1164,17.87,0.42,9.14,4.2,18.07,20.9,0.63,0.84,0.21,6.2,0.84,38.97
"6","0106","ECOLE - AVEYRON",1193,17.6,1.22,6.49,5.77,26.26,16.58,1.03,0.21,0,11.64,1.03,31
"7","0107","ECOLE - AVEYRON",1275,18.2,1.05,8.91,3.2,17.54,21.9,0.48,0.29,0.29,6.49,0.58,40.31
"8","0108","SERV. ARCHEOLOGIQUE MUNICIPAL",698,22.06,0.18,11.79,3.5,8.1,26.34,1.29,0.55,0.18,7.55,0.37,40.33
"9","0109","ECOLE TABLES CLAUDIENNES",859,20.49,0.44,6.62,3.53,13.24,27.21,1.03,0.44,0.44,6.18,0.59,40.74
"10","0110","ECOLE - MICHEL SERVET",1394,19.73,1.34,7.16,5.25,19.29,20.47,1.27,0.09,0.18,9.69,1.45,35.14
"11","0111","MAIRIE - ANNEXE",1487,18.63,1.07,7.18,5.26,25.06,17.54,0.92,0.33,0.42,10.19,1.34,31.75
"12","0112","ECOLE - ROBERT DOISNEAU",1119,20.55,1.01,7.16,5.34,30.8,13.98,1.14,0.23,0.23,7.84,1.02,32.27
"13","0113","ECOLE - ROBERT DOISNEAU",1260,21.98,1.53,4.75,5.27,27.89,14.26,0.62,0.1,0.62,9.81,1.45,35.23
"14","0114","ECOLE - ROBERT DOISNEAU",1253,16.92,0.38,8.2,4.05,33.94,14.75,0.77,0.1,0.29,9.35,0.58,27.97
"15","0115","MAIRIE DU 1ER ARRONDISSEMENT",866,19.17,0.86,9.08,2.74,14.41,26.66,1.73,0.29,0.29,7.78,0.58,36.46
"16","0116","SERV. ARCHEOLOGIQUE MUNICIPAL",758,22.69,1.88,8.87,6.96,10.78,24.52,1.04,0.7,0.17,6.61,0.52,39.83
"17","0117","ECOLE TABLES CLAUDIENNES",819,16.85,1.76,10.16,4.93,13.3,22.72,0.9,0.75,0.45,6.58,0.3,39.91
"18","0201","MAIRIE DU 2 EME",706,16.71,1.53,3.28,8.29,53.89,5.18,0,0,0.35,11.57,2.25,15.2
"19","0202","MAIRIE DU 2 EME",959,17.31,0.76,3.05,6.61,47.78,5.84,1.14,0.25,0.13,12.83,2.29,20.08
"20","0203","ECOLE PRIMAIRE CONDE (GYMNASE)",1059,19.07,0.58,3.99,7.75,46.13,7.86,0.47,0.12,0.47,11.27,0.82,21.13
"21","0204","ECOLE PRIMAIRE CONDE (GYMNASE)",1068,19.57,0.93,3.53,7.4,43.95,8.11,0.82,0.12,0.35,11.52,1.06,23.15
"22","0205","ECOLE MICHELET",900,16.67,0.93,3.63,6.33,50.2,6.86,0.67,0,0,12.79,0.54,18.98
"23","0206","ECOLE MICHELET",785,17.07,1.23,3.11,7.15,49.77,7.15,0.16,0.16,0.47,11.82,0.93,19.28
"24","0207","SALLE FRANCOIS SALA",1011,17.41,1.44,2.92,3.89,56.38,6.56,0.12,0,0.12,12.76,1.34,15.92
"25","0208","SALLE FRANCOIS SALA",1014,19.53,1.23,3.47,6.33,51.61,6.95,0.12,0.25,0.5,11.79,2.23,16.75
"26","0209","ECOLE MATERNELLE CONDE",955,20,0.79,4.49,11.08,37.99,7.39,1.32,0.4,0.26,8.31,0.79,27.97
"27","0210","ECOLE MATERNELLE CONDE",687,19.51,0.54,4.55,10.36,40.36,7.09,0.36,0,0.36,11.09,0.91,24.91
"28","0211","ECOLE GILIBERT",843,25.74,1.12,3.72,15.02,28.76,13.89,0.48,0,0.16,11.31,2.1,24.56
"29","0212","ECOLE GILIBERT",896,20.98,1.27,5.58,14.16,25.04,13.45,1.43,0.29,0.14,7.73,1.43,30.76
"30","0213","ECOLE ALIX",832,18.39,1.47,3.29,11.81,27.65,17.49,0.75,0.9,0.45,11.06,0.9,25.71
"31","0214","ECOLE ALIX",900,20.67,0.42,4.5,20.96,29.11,10.55,0.7,0.98,0.7,11.39,3.52,17.58
"32","0215","ECOLE LAMARTINE",1196,20.57,0.63,3.5,5.51,47.88,8.05,0.21,0.21,0.42,10.17,0.74,23.31
"33","0216","ECOLE LAMARTINE",1180,20.59,1.17,3.24,7.45,46.11,8.64,0.54,0,0.32,10.91,0.43,22.35
"34","0217","SALLE CORBEILLE",1209,20.93,0.52,4.1,5.26,41.43,9.88,0.84,0.21,0.21,12.2,1.05,24.82
"35","0218","SALLE DE LA CORBEILLE",933,20.15,1.74,2.87,6.01,48.09,7.1,0.55,0.14,0,10.11,1.78,23.36
"36","0219","GYMNASE CHANFRAY",799,27.28,2.58,3.89,15.19,19.79,13.96,1.06,0.18,0.53,10.42,1.41,33.57
"37","0220","GYMNASE CHANFRAY",526,10.08,1.48,4.72,10.09,27.25,8.8,1.07,0.86,0.64,12.45,1.72,32.4
"38","0301","MAIRIE DU 3EME",934,24.63,1.56,2.89,9.24,31.46,8.37,0.58,0.43,0.29,11.4,1.73,33.62
"39","0302","MAIRIE DU 3ÈME",1018,18.76,1.21,3.43,8.69,44.92,8.94,0.49,0.24,0.61,7.71,1.22,23.75
"40","0303","ECOLE ANDRE PHILIP",799,21.4,1.27,3.71,10.32,32.1,13.23,0.48,0.16,0.16,12.9,0.48,26.45
